Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,12p,
"C10, C11, C14, C15, C17, C20",1206,6,4.7u,
"C12, C13, C19, C22, C27, C28, C3, C5, C6, C7, C8, C9",0402,12,0.47u,
"C25, C26",0402,2,2p,
C4,0402,1,0.1u,
"D1, D2, D3",0603,3,LED,
"J1A, J1B",B_2200S20PB120,2,Glasgow Port,
J2,RJMG201K21120FR,1,RJMG201K21120FR,
"L1, L2, L3",0603,3,BLM18PG300SN1D,
"R1, R2, R4, R5, R7, R8",0402,6,4.7k,
"R10, R24",0402,2,0,
"R11, R3, R6, R9",0402,4,4.7k,
R12,0402,1,2.49K,
"R13, R14",0603,2,0,
"R15, R16, R20, R21, R22, R23",0402,6,33,
"R17, R18, R19",0402,3,150,
"R25, R26",0402,2,0,
U1,QFN-40-1EP_5x5mm_P0.4mm_EP3.8x3.8mm,1,MxL86110,
Y1,OT201625MJBA4S,1,25 MHz,
