Designator,Footprint,Quantity,Value,JLC Part #
"C1, C11, C15, C16, C19, C20, C21, C22, C23, C24, C25, C6",0402,12,0.47u,C967572
"C10, C17, C18, C2, C5, C9",1206,6,4.7u,C29823
"C12, C13",0402,2,12p,C1547
C14,0402,1,0.1u,C1525
"C3, C7",0603,2,1u,C1592
D1,0603,1,LED_0,C111340
D2,0603,1,LED_1,C83904
D3,0603,1,LED_2,C2977076
J1A,Conn_2x10,1,B-2200S20P-B120,C124419
J1B,Conn_2x10,1,B-2200S20P-B120,C124419
J2,HR911130C_HAN,1,RJ45_HR911130C,C50933
"L1, L2, L3",0603,3,2.2 uH,C17305
"R1, R2, R5, R6, R8, R9",R-3-Way_0402_1005Metric,6,4.7k,C25900
"R10, R21, R3, R7",0402,4,4.7k,C25900
"R12, R4",0603,2,0,C15402
"R13, R14",R-3-Way_0402_1005Metric,2,0,C17168
"R15, R16, R17, R18, R19, R20",0402,6,33,C25105
R22,0402,1,2.49K,C102924
"R23, R27",0402,2,0,C17168
"R24, R25, R26",0402,3,1k,C173697
U1,SOT-23,1,XC6206P122MR,C2827649
U2,QFN-40-1EP_5x5mm_P0.4mm_EP3.8x3.8mm,1,MxL86110,C187932
Y1,XTAL_ECS-160-9-37-CKM-TR,1,25 MHz,C669080
